,crc,take_type,allo_block,wap,max_rate_wap,in_sw_allo,sd1_150,sd1_30,sd1_7,rate_ratio,ExtSiteID
402,CRC172201,Take Groundwater,A,K37/3085,23.0,False,93.0,84.0,68.0,1.0,68801
403,CRC172636,Take Groundwater,A,K37/3194,4.88,True,87.0,72.0,46.0,1.0,68801
404,CRC173404,Take Surface Water,B,K36/1090,200.0,True,100.0,100.0,100.0,1.0,168834
405,CRC173404,Take Surface Water,B,K36/1090,200.0,True,100.0,100.0,100.0,1.0,68801
406,CRC174173,Take Groundwater,A,K37/0455,4.8,True,96.0,91.0,81.0,0.2424242424242424,1688218
407,CRC174173,Take Groundwater,A,K37/0456,15.0,True,0.0,0.0,0.0,0.7575757575757576,1688218
408,CRC174336,Take Groundwater,A,BX20/0015,3.0,True,0.0,0.0,0.0,1.0,68801
409,CRC174336,Take Groundwater,A,BX20/0015,3.0,True,0.0,0.0,0.0,1.0,168833
410,CRC174644,Take Groundwater,A,BX20/0037,25.0,True,0.0,0.0,0.0,0.8928571428571429,168834
411,CRC174644,Take Groundwater,A,BX20/0037,25.0,True,0.0,0.0,0.0,0.8928571428571429,68801
412,CRC174644,Take Groundwater,B,BX20/0037,25.0,True,0.0,0.0,0.0,1.0,168834
413,CRC174644,Take Groundwater,B,BX20/0037,25.0,True,0.0,0.0,0.0,1.0,68801
414,CRC174644,Take Groundwater,A,BX20/0058,3.0,True,100.0,100.0,100.0,0.10714285714285714,168834
415,CRC174644,Take Groundwater,A,BX20/0058,3.0,True,100.0,100.0,100.0,0.10714285714285714,68801
416,CRC175053,Take Surface Water,B,K36/1006,200.0,True,100.0,100.0,100.0,1.0,168834
417,CRC175053,Take Surface Water,B,K36/1006,200.0,True,100.0,100.0,100.0,1.0,68801
418,CRC175063,Take Surface Water,B,K36/0963,100.0,True,100.0,100.0,100.0,1.0,168834
419,CRC175063,Take Surface Water,B,K36/0963,100.0,True,100.0,100.0,100.0,1.0,68801
420,CRC175893,Take Groundwater,A,K37/1427,4.6,True,0.0,0.0,0.0,1.0,1688218
421,CRC175893,Take Groundwater,A,K37/1427,4.6,True,0.0,0.0,0.0,1.0,168840
422,CRC176167,Take Groundwater,A,K37/0354,20.0,True,88.0,74.0,49.0,1.0,68801
423,CRC176167,Take Groundwater,A,K37/0354,20.0,True,88.0,74.0,49.0,1.0,168833
424,CRC176315,Take Groundwater,A,K36/0086,53.0,True,92.0,82.0,63.0,0.5,68801
425,CRC176315,Take Groundwater,A,K36/0086,53.0,True,92.0,82.0,63.0,0.5,168833
426,CRC176315,Take Groundwater,A,K36/0086,53.0,True,92.0,82.0,63.0,0.5,168841
427,CRC176315,Take Groundwater,A,K36/0086,53.0,True,92.0,82.0,63.0,0.5,168846
428,CRC176315,Take Groundwater,A,K36/0116,53.0,True,95.0,89.0,77.0,0.5,68801
429,CRC176315,Take Groundwater,A,K36/0116,53.0,True,95.0,89.0,77.0,0.5,168833
430,CRC176315,Take Groundwater,A,K36/0116,53.0,True,95.0,89.0,77.0,0.5,168841
431,CRC176315,Take Groundwater,A,K36/0116,53.0,True,95.0,89.0,77.0,0.5,168846
432,CRC176317,Take Surface Water,A,K36/0862,240.0,True,100.0,100.0,100.0,1.0,68801
433,CRC176317,Take Surface Water,A,K36/0862,240.0,True,100.0,100.0,100.0,1.0,168833
434,CRC176317,Take Surface Water,A,K36/0862,240.0,True,100.0,100.0,100.0,1.0,168841
435,CRC176317,Take Surface Water,A,K36/0862,240.0,True,100.0,100.0,100.0,1.0,168846
436,CRC176434,Take Surface Water,A,K36/0970,100.0,True,100.0,100.0,100.0,1.0,68801
437,CRC176434,Take Surface Water,A,K36/0970,100.0,True,100.0,100.0,100.0,1.0,168833
438,CRC176434,Take Surface Water,A,K36/0970,100.0,True,100.0,100.0,100.0,1.0,168821
439,CRC180091,Take Groundwater,A,K36/0134,21.0,True,96.0,92.0,84.0,1.0,168834
440,CRC180091,Take Groundwater,A,K36/0134,21.0,True,96.0,92.0,84.0,1.0,68801
441,CRC180091,Take Groundwater,A,K36/0134,21.0,True,96.0,92.0,84.0,1.0,168837
442,CRC180918,Take Groundwater,A,K36/0208,12.0,True,91.0,79.0,59.0,1.0,68801
443,CRC180918,Take Groundwater,A,K36/0208,12.0,True,91.0,79.0,59.0,1.0,168833
444,CRC180918,Take Groundwater,A,K36/0208,12.0,True,91.0,79.0,59.0,1.0,168821
445,CRC181007,Take Groundwater,A,BY21/0093,30.0,True,0.0,0.0,0.0,1.0,68801
446,CRC181007,Take Groundwater,A,BY21/0093,30.0,True,0.0,0.0,0.0,1.0,168833
447,CRC181876,Take Groundwater,A,K37/0556,14.0,True,0.0,0.0,0.0,1.0,1688218
448,CRC181876,Take Groundwater,A,K37/0556,14.0,True,0.0,0.0,0.0,1.0,168840
449,CRC181906,Take Groundwater,A,K36/0758,36.0,True,0.0,0.0,0.0,1.0,68801
450,CRC181906,Take Groundwater,A,K36/0758,36.0,True,0.0,0.0,0.0,1.0,168833
451,CRC181906,Take Groundwater,A,K36/0758,36.0,True,0.0,0.0,0.0,1.0,168841
452,CRC181906,Take Groundwater,A,K36/0758,36.0,True,0.0,0.0,0.0,1.0,168846
453,CRC184301,Take Groundwater,A,BY20/0183,5.0,True,89.0,75.0,51.0,0.03597122302158273,68801
454,CRC184301,Take Groundwater,A,BY20/0183,5.0,True,89.0,75.0,51.0,0.03597122302158273,168833
455,CRC184301,Take Groundwater,A,K37/1536,62.0,True,0.0,0.0,0.0,0.4460431654676259,68801
456,CRC184301,Take Groundwater,A,K37/1536,62.0,True,0.0,0.0,0.0,0.4460431654676259,168833
457,CRC184301,Take Groundwater,A,K37/3080,72.0,True,0.0,0.0,0.0,0.5179856115107914,68801
458,CRC184301,Take Groundwater,A,K37/3080,72.0,True,0.0,0.0,0.0,0.5179856115107914,168833
459,CRC186071,Take Groundwater,A,K37/1522,60.0,True,0.0,0.0,0.0,1.0,68801
460,CRC186071,Take Groundwater,A,K37/1522,60.0,True,0.0,0.0,0.0,1.0,168833
461,CRC190704,Take Groundwater,A,K36/1000,33.5,False,0.0,0.0,0.0,1.0,68801
462,CRC190704,Take Groundwater,A,K36/1000,33.5,False,0.0,0.0,0.0,1.0,168833
463,CRC921547C,Take Surface Water,A,K36/0893,990.0,True,100.0,100.0,100.0,1.0,68801
464,CRC921547C,Take Surface Water,A,K36/0893,990.0,True,100.0,100.0,100.0,1.0,168833
465,CRC921547H,Take Surface Water,A,K36/0895,230.0,True,100.0,100.0,100.0,1.0,168834
466,CRC921547H,Take Surface Water,A,K36/0895,230.0,True,100.0,100.0,100.0,1.0,68801
467,CRC921547H,Take Surface Water,A,K36/0895,230.0,True,100.0,100.0,100.0,1.0,168837
468,CRC921547J,Take Surface Water,A,K36/0894,230.0,True,100.0,100.0,100.0,1.0,68801
469,CRC921547J,Take Surface Water,A,K36/0894,230.0,True,100.0,100.0,100.0,1.0,168833
470,CRC921550B,Take Groundwater,A,K37/0385,30.0,True,82.0,61.0,29.0,1.0,68801
471,CRC921550B,Take Groundwater,A,K37/0385,30.0,True,82.0,61.0,29.0,1.0,168833
472,CRC921550C,Take Groundwater,A,K37/0386,95.0,True,92.0,83.0,66.0,0.5,68801
473,CRC921550C,Take Groundwater,A,K37/0386,95.0,True,92.0,83.0,66.0,0.5,168833
474,CRC921550C,Take Groundwater,A,K37/0390,95.0,True,90.0,78.0,56.0,0.5,68801
475,CRC921550C,Take Groundwater,A,K37/0390,95.0,True,90.0,78.0,56.0,0.5,168833
476,CRC921550D,Take Groundwater,A,K37/0463,27.0,True,95.0,89.0,78.0,1.0,68801
477,CRC921550D,Take Groundwater,A,K37/0463,27.0,True,95.0,89.0,78.0,1.0,168833
478,CRC921550E,Take Groundwater,A,K37/0342,28.0,True,100.0,99.0,98.0,1.0,68801
479,CRC921550E,Take Groundwater,A,K37/0342,28.0,True,100.0,99.0,98.0,1.0,168833
480,CRC921550G,Take Groundwater,A,K37/0388,36.0,True,98.0,96.0,91.0,1.0,68801
481,CRC921550G,Take Groundwater,A,K37/0388,36.0,True,98.0,96.0,91.0,1.0,168833
482,CRC950584,Take Groundwater,A,K36/0136,38.0,True,100.0,100.0,99.0,1.0,68801
483,CRC950584,Take Groundwater,A,K36/0136,38.0,True,100.0,100.0,99.0,1.0,168833
484,CRC950584,Take Groundwater,A,K36/0136,38.0,True,100.0,100.0,99.0,1.0,168841
